Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
71	34	0	1.2741176	293.19983	293.199911	293.19983	293.199975	8.24990682e-005	3.73623073e-006	4.5	0.00276125	0	0	3
72	34	0	1.29206292	293.199823	293.199906	293.199823	293.199972	8.69767596e-005	3.83499532e-006	4.4	0.00279993	0	0	3
73	35	0	1.31000824	293.199816	293.1999	293.199816	293.199969	9.14788384e-005	3.9344279e-006	4.3	0.0028789	0	0	3
74	35	0	1.32795355	293.199807	293.199895	293.199807	293.199966	9.60453224e-005	4.03644852e-006	4.2	0.00267561	0	0	3
75	35	0	1.34589887	293.199799	293.199889	293.199799	293.199962	0.000100649461	4.14009648e-006	4.1	0.0028424	0	0	3
76	36	0	1.36384419	293.199792	293.199883	293.199792	293.199958	0.000105265514	4.24451914e-006	4	0.00273929	0	0	3
77	36	0	1.38178951	293.199784	293.199876	293.199784	293.199955	0.000109892878	4.34984431e-006	3.9	0.00276537	0	0	3
78	37	0	1.39973483	293.199777	293.19987	293.199777	293.19995	0.000114492627	4.45517426e-006	3.8	0.00283645	0	0	3
79	37	0	1.41768015	293.19977	293.199864	293.19977	293.199946	0.00011903985	4.56013873e-006	3.8	0.00268676	0	0	3
80	38	0	1.43562546	293.199763	293.199857	293.199763	293.199941	0.000123516087	4.66481959e-006	3.7	0.00283167	0	0	3
81	38	0	1.45357078	293.199757	293.19985	293.199757	293.199937	0.000127898038	4.76871273e-006	3.7	0.00270972	0	0	3
82	38	0	1.4715161	293.199749	293.199844	293.199749	293.199931	0.000132182915	4.87237575e-006	3.6	0.0028446	0	0	3
83	39	0	1.48946142	293.199742	293.199837	293.199742	293.199926	0.000136348607	4.9759481e-006	3.6	0.00288139	0	0	3
84	39	0	1.50740674	293.199735	293.19983	293.199735	293.19992	0.0001403671	5.0792302e-006	3.6	0.00274231	0	0	3
85	40	0	1.52535206	293.199728	293.199823	293.199728	293.199914	0.000144242449	5.18277311e-006	3.5	0.00270612	0	0	3
86	40	0	1.54329737	293.19972	293.199816	293.19972	293.199908	0.00014797895	5.28610402e-006	3.5	0.00291284	0	0	3
87	41	0	1.56124269	293.199712	293.199809	293.199712	293.199902	0.000151598048	5.38987333e-006	3.5	0.00273448	0	0	3
88	41	0	1.57918801	293.199705	293.199802	293.199705	293.199896	0.000155071676	5.49325206e-006	3.5	0.00295355	0	0	3
89	42	0	1.59713333	293.199697	293.199795	293.199697	293.199889	0.000158417546	5.59714762e-006	3.5	0.00291537	0	0	3
90	42	0	1.61507865	293.199689	293.199788	293.199689	293.199883	0.000161610749	5.70116929e-006	3.5	0.00294826	0	0	3
91	43	0	1.63302397	293.199682	293.199781	293.199682	293.199876	0.00016462432	5.80476613e-006	3.5	0.00290819	0	0	3
92	43	0	1.65096928	293.199675	293.199774	293.199675	293.199869	0.000167421122	5.90742518e-006	3.5	0.00279261	0	0	3
93	43	0	1.6689146	293.199668	293.199767	293.199668	293.199862	0.00017000103	6.00861656e-006	3.5	0.00290853	0	0	3
94	44	0	1.68685992	293.199662	293.19976	293.199662	293.199855	0.000172373349	6.10816997e-006	3.5	0.00294547	0	0	3
95	44	0	1.70480524	293.199656	293.199752	293.199656	293.199849	0.000174550558	6.20592483e-006	3.5	0.00291048	0	0	3
96	45	0	1.72275056	293.19965	293.199745	293.19965	293.199843	0.00017657308	6.30116528e-006	3.5	0.0027542	0	0	3
97	45	0	1.74069588	293.199645	293.199738	293.199645	293.199837	0.000178469791	6.39404346e-006	3.5	0.00255832	0	0	3
98	45	0	1.75864119	293.199639	293.199731	293.199639	293.19983	0.000180217446	6.48452844e-006	3.5	0.00289636	0	0	3
99	46	0	1.77658651	293.199632	293.199724	293.199632	293.199823	0.00018180185	6.57308717e-006	3.6	0.00277206	0	0	3
100	46	0	1.79453183	293.199626	293.199717	293.199626	293.199816	0.000183218686	6.65967337e-006	3.6	0.0027528	0	0	3
101	47	0	1.81247715	293.19962	293.19971	293.19962	293.199807	0.00018444055	6.74467367e-006	3.6	0.00289565	0	0	3
