Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
138	62	0	2.47645393	0	0	0	0	0	5e-006	100	0	0	0	3
139	63	0	2.49439924	0	0	0	0	0	5e-006	100	0	0	0	3
140	63	0	2.51234456	0	0	0	0	0	5e-006	100	0	0	0	3
141	64	0	2.53028988	0	0	0	0	0	5e-006	100	0	0	0	3
142	64	0	2.5482352	0	0	0	0	0	5e-006	100	0	0	0	3
143	64	0	2.56618052	0	0	0	0	0	5e-006	100	0	0	0	3
144	65	0	2.58412584	0	0	0	0	0	5e-006	100	0	0	0	3
145	65	0	2.60207115	0	0	0	0	0	5e-006	100	0	0	0	3
146	66	0	2.62001647	0	0	0	0	0	5e-006	100	0	0	0	3
147	66	0	2.63796179	0	0	0	0	0	5e-006	100	0	0	0	3
148	66	0	2.65590711	0	0	0	0	0	5e-006	100	0	0	0	3
149	67	0	2.67385243	0	0	0	0	0	5e-006	100	0	0	0	3
150	67	0	2.69179775	0	0	0	0	0	5e-006	100	0	0	0	3
151	68	0	2.70974306	0	0	0	0	0	5e-006	100	0	0	0	3
152	68	0	2.72768838	0	0	0	0	0	5e-006	100	0	0	0	3
153	69	0	2.7456337	0	0	0	0	0	5e-006	100	0	0	0	3
154	69	0	2.76357902	0	0	0	0	0	5e-006	100	0	0	0	3
155	69	0	2.78152434	0	0	0	0	0	5e-006	100	0	0	0	3
156	70	0	2.79946966	0	0	0	0	0	5e-006	100	0	0	0	3
157	70	0	2.81741497	0	0	0	0	0	5e-006	100	0	0	0	3
158	71	0	2.83536029	0	0	0	0	0	5e-006	100	0	0	0	3
159	71	0	2.85330561	0	0	0	0	0	5e-006	100	0	0	0	3
160	71	0	2.87125093	0	0	0	0	0	5e-006	100	0	0	0	3
161	72	0	2.88919625	0	0	0	0	0	5e-006	100	0	0	0	3
162	72	0	2.90714156	0	0	0	0	0	5e-006	100	0	0	0	3
163	73	0	2.92508688	0	0	0	0	0	5e-006	100	0	0	0	3
